Student statement,Expert3,Category Chat
"A complex system is a unique whole that works, works, works, but has many aspects, many small units that are independent, that form it. That is important to understand when you aim to improve the whole system behaviour. ",Technical,"Technical, Business, Social"
"A structured approach to identify various aspects of complex systems, to throw out unnecessary information that do not belong in the complex system itself, and to structure my vision better.",Technical,"Technical, Business"
"Certain process constraints or boundaries within process variations are impossible to determine solely from an office environment. Each factory context may have unique parameter calibration values, such as the need to tune the velocity of a robotic arm to suit the specific factory conditions and acceptable movement trajectories that can be determined only from the real context.",Technical,"Technical, Business"
"an awareness that there can be stoppages or disruptions in the working of particular processes, and when the product line is continuous, these stoppages may have consequences for other associated processes in the production line.",Technical,"Technical, Business, Economic"
" Maintaining physical equipment and managing software upgrades are crucial, as some physical equipment may wear out over time. It is important to carefully monitor and maintain physical equipment as well as update associated software to keep the system running efficiently.",Technical,"Technical, Business"
"the existing factory technology is not yet ready to support such innovations,",Technical,"Technical, Business"
"proper engineering should consider legacy or regulatory concerns in the particular context of that factory,",Political,"Technical, Business, Political"
The financial aspects of the company and its business goals often do not fully recognize the technological benefits.,Business,"Business, Economic, Technical"
The current factory culture and workers' technological awareness may not be adequately prepared to support the innovations we proposed.,Social,"Social, Technical"
Workers are reluctant to embrace technological improvements in factory processes because they do not perceive the benefits of such innovations.,Social,"Social, Business"
Workers may be apprehensive about losing their jobs due to factory automation and process improvements.,Social,"Social, Ethical"
" The student reflection highlights the need to improve technological awareness and skills among students in elementary and secondary schools. This is crucial that we reform our eudation system as automation and AI will require technologically skilled workers and personnel. While some repetitive tasks may be automated, new competencies will be required to thrive in the evolving job market.",Social,"Technical, Business, Social, Economic"
"The analysis also highlighted the impact of company scale on innovation capability. Larger companies may be more suitable for implementing more substantial improvements, while the scalability of the company influences its innovation readiness and appropriateness. It is important to be aware that different company sizes exist, and certain innovations may not be suitable for smaller companies due to their scale. Additionally, companies may have varying criteria for their software requirements.",Business,"Business, Technical"
"Furthermore, the analysis highlighted the importance of a participatory change strategy, emphasizing the need to actively engage stakeholders in the innovation process.",Business,"Business, Social, Ethical"
"Students expressed concern about software failure and its potential consequences, including damage to the company's reputation, financial impact, security issues, and even threats to human life.",Technical,"Technical, Business, Economic, Social, Ethical"
" Companies often have a limited understanding of the uncertain risk dimensions encompassing their factory business, market, and operations during the timeframe of factory innovation acceptance and subsequent adoption of new working conditions.",Business,"Business, Technical, Economic, Social"
 The information students could gather from the internet differed significantly from the insights they gained during the actual company visit regarding the factory processes and potential requirements.,Social,"Business, Social, Ethical"
"The gradual, scalable introduction to the factory visit was a good learning approach. At the beginning, the presentation on complex systems and discussions of imaginary cases and their challenges left us confused about the key learning points. However, when we then switched to defining a real small-scale application, with the support of a structured guideline, we struggled to understand what we should address in each question of the seminar structure. But when we came to the actual factory visit, the awareness of the key learnings and how to address the questions within the seminar enabled us to better address the key learning points within the real factory environment and to ask the questions that we needed to address in our seminar.",Social,"Business, Social, Educational"
" If we had only been presented with all the key learnings from the beginning and were expected to remember those points, I am afraid we would not have been able to truly understand the problems of complexity or learn how to effectively address them. The scalable, gradual introduction to the key learnings, including concrete case studies and interactions with other students (economy) as well as with workers from the real-world environment, forced us to grapple with the complexities firsthand and consider potential problems, solutions, and consequences. This hands-on, immersive approach would have been difficult to achieve through solely theoretical presentations and discussions within the classroom setting.",Social,"Business, Social, Educational"
" If we had only been presented with all the key learnings from the beginning, we would have been lost during the factory visit and unable to write a seminar that was directly related to the key learnings of addressing complex systems. That is why it was useful to scale the learning process, starting with mini case studies before the actual factory visit. If we had not worked through the seminar structure on a small-scale example, we probably would not have captured the key learnings, even though the technology guide within the factory covered many of the problems that we later incorporated into our seminar writings. This structured approach also enabled us to ask more relevant questions during the factory visit.",Social,"Business, Technical, Social, Ethical"
"Visit to the real world where the software is deployed is beneficial because you can see how small system innovations or units can impact the overall complex system behavior. I realized that comprehending the possible consequences is not a straightforward endeavor, as not only technical but also social and economic dimensions can have a significant influence.",Social,"Technical, Social, Economic"
" The structured instructions with guiding questions made it easier for us to develop requirements for the analysed system because we did not waste time theorizing or rejecting irrelevant considerations, which streamlined the writing process. The instructions directed us and helped structure our reflections on how to effectively observe complex systems.",Technical,"Technical, Business"
Structured instructions would be helpful for me in the future when dealing with complex systems. Providing a clear framework and asking targeted questions is crucial to capturing key learnings and avoiding getting lost in the intricacy of the topic.,Social,"Technical, Business, Social"
"We were not initially aware of the various emerging technologies, but the brief presentation provided us with the opportunity to propose numerous innovations that could significantly improve our mini case application.",Technical,"Technical, Business"
"Visit to the real context where software is deployed is benefitial for software developers because there you are able to see how software interacts with other systems, machines, and people.",Social,"Technical, Business, Social"
"The complex system is a continuous process with numerous internal and external factors that can influence the flow of processes, their speed, and the potential consequences for the market, products, company reputation, and the future of the company's production.",Technical,"Technical, Business, Economic, Social"
"Professionalism as a responsibility to innovate should become a global strategy, and with this goal, the transformation of education should happen. The question of technology investment and the sharing of responsibility should become a consensus between the economy and technology, not a stumbling block.",Business,"Business, Economic, Social, Ethical, Technical"
" Companies are primarily focused on driving product innovations that they can bring to market, rather than technology innovations that could improve their efficiency and effectiveness. It seems that workers and managers do not fully understand the potential benefits that new technologies could bring to their factory business, while product innovations are generally more straightforward to calculate and predict.",Business,"Business, Technical, Economic, Social"
"People's attitudes towards new technology are a key prerequisite for technology transformation. To enable this, people should be upskilled in technological aspects across all disciplines, such as chemistry and economics. Additionally, in manufactories, a new role focused solely on technology innovation should be introduced.",Business,"Technical, Business, Social, Economic"
" Every software developer who works on complex systems should spend time within the context of that system, interacting with the humans who work with it. Many aspects cannot be predicted based solely on imagination; they must be experienced through direct interaction with the system, as complex systems have dynamic operations that are difficult to describe even statically, let alone capture their full dynamics.",Technical,"Technical, Business, Social, Ethical"
" Workers who interact with complex systems understand the complexity of their dynamic operation and have experience dealing with malfunctions and faulty cases, where human intuition and quick action are crucial to avoid serious consequences. This is likely the main reason why they are skeptical that software can replace humans in every aspect. Therefore, their firsthand experience is of key importance for the adequate design and modeling of factory innovations and transformations.",Technical,"Technical, Business, Social, Ethical"
" Introducing innovations in complex systems can have a significant impact on the workers who interact with machines in factories. From the company visit, I realized that workers are often critical of new technologies. Their competencies are of key importance for the operation and transformation of factories.",Social,"Social, Business, Technical"
" The factories' operations can have significant impacts on ecology and sustainability, so the software responsible for managing the physical machinery is of key importance to achieve these environmental goals and ensure the factories' operations are ecologically and sustainably acceptable.",Social,"Technical, Business, Social, Ethical"
"My impression is that workers often have a negative attitude towards new technologies because they are afraid for their jobs and do not fully understand the consequences of technological innovations. Additionally, they may not realize the need to upgrade their competencies to satisfy the new working conditions. Resistance to change is a normal process, but it requires adequate management to address these concerns.",Business,"Business, Social, Ethical"
"For the future software engineering profession, it is important not only to understand emerging technologies but also to comprehend how the real context works, both in a static and dynamic manner. ",Technical,"Technical, Business, Social, Ethical"
"Software developers need to understand the experiences and expectations of the people working with the systems we engineer, as well as their thought processes. We often fail to fully grasp the consequences our software may have on the actual factory, the dimensions of their operations, and the potential stakeholders involved. ",Business,"Technical, Business, Social, Ethical"
"Software developers must consider the legal, security, and ecological aspects of the system's interaction with its environment.",Technical,"Technical, Ethical, Social"
" Innovating complex systems, such as manufacturing, requires a multidimensional and interdisciplinary approach from various viewpoints to effectively specify requirements.",Technical,"Technical, Business, Economic"
 Real industrial context experience is hardly transferred to other people by storytelling and presenting. The real industrial context should be experienced by every student and person involved in engineering complex systems.,Social,"Technical, Social, Ethical"
"Factory innovations have numerous consequences such as people’s education, additional time and money for education, financial and risk aspects of technology transformation, and workers’ upskilling",Economic,"Business, Economic, Social, Ethical"
"There is a huge difference when the developer is developing code within a classroom and in a real industrial context. Numerous aspects can not be imagined from the classroom environment. It is easier to identify limitations, important problems, and prioritization of issues.",Social,"Technical, Business, Social"
 The importance of testing for software control is the need for some document that would define what and how some software should satisfy requirements before its acceptance within so complex environments.,Technical,"Technical, Business, Ethical"
" The factory visit was very interesting, we had the opportunity to see a very complex production process and we had the opportunity to see how AI is implemented within the production process we never seen it before and heard about some experiences of workers working with AI implemented in manufacturing",Social,"Business, Technical, Social"
Company visits enabled me to understand people’s side working with complex systems that we did not take into account from the classroom and could not imagine all the challenges people may face with working in such environments.,Social,"Social, Ethical"
"Visiting real factory is beneficial because we see how emerging technologies are implemented within real complex systems, what problems the people working with these systems have and how they plan to improve themselves in the future",Social,"Business, Technical, Social"
"We got an idea of ??what a complex system means (it looks much simpler in the classroom environment), there each of the machines is a complex system by itself, maybe it would be better if it were a simpler example because I got lost from the beginning to end, we saw in the factory problems that is difficult to imagine in a class, we could assess the challenges more than in a class, it is easier to communicate challenges in person with workers from the factory context, even though the person who guided us told us about most of the challenges when you see it in person and only when something is implemented, you only then really understand the problems better than in theory.",Social,"Technical, Social, Business"
"Probably the course could be done without a physical visit to the company but a physical visit is more etched in the memory, and direct contact with workers in their working environment allows asking questions and provides motivation to think about questions.",Social,"Business, Social, Ethical"
"When you see a robotic arm integrated into the manufacturing process, you see that it is big, its strength and that development should be approached responsibly, it is not as simple as in theory. The question remains how to embed responsibility in those robotic hands (for example, to make a person trust that such a tool will not harm anyone) - it is necessary to test, and watch out for borderline cases, and possible accidents in factories.",Technical,"Technical, Business, Ethical, Social"
"the one who buys a robot should know that it is a robot and that there is nothing that is flawless, and are we ready to risk a collision - not all responsibility should be on the developer, there should be something on the owner and the user as well",Ethical,"Technical, Ethical, Social"
"The instructions for the specification of requirements were useful, and when I go to the factory I can see all the consequences of my requirements you look at those instructions in a completely different way when you define requirements for a factory as a complex system and when you define requirements for a simpler application that we can think of from the classroom environment. A visit to the factory is the best way to understand a real example of a complex system with a discussion with workers. For example, a Beach cabin versus skyscraper, it was an ok example of complex system, but only when we went to the factory we understand more aspects of the complex system.",Social,"Technical, Business, Social"
"I understood what you mean by complexity in the factory case study, but I couldn't explain some functions, or structure because I don't have enough knowledge about it. I could hardly apply modern principles and new technologies, i.e. innovations, because I didn't do that. The library case study was different because I could work out the functions of the system myself, new technologies helped me because I could significantly improve my functional requirements in the library. There I could recognize design principles. If you did not presented us new technologies, I would have made an ordinary library.  ",Social,"Technical, Business, Social"
"In the factory, I could see how important the financial and social aspects are when introducing new technologies. Even when we had totally crazy and innovative ideas, it was difficult to convince people that it would be useful for them. ",Social,"Business, Social, Economic"
"In the factory, we could also see ecology in the conversation about dependence and clean water and the problem of waste disposal. The factory can also be a polluter, so you have to think about the filters...",Social,"Technical, Business, Social, Ethical"
" I learned from the course that a complex system must be designed correctly and that the structure of the system must follow certain principles (e.g. even when there are skyscrapers, safety exits should be planned in case of danger, a sufficiently strong shaft), ",Technical,"Technical, Business, Ethical"
"In the software developer profession, there are some rules for writing code and they relate to responsible we write code so that others can inherit it from us (professionalism, clean code, design principles, modularity, ... the better the design is planned, the better it can be improved tomorrow). ",Technical,"Technical, Ethical, Business"
"I learn that learning new technologies can significantly improve the solution we will offer, and continuous education of new technologies is very important for software developers, ",Business,"Technical, Business, Social, Ethical"
"In the factory, I realized that the social aspect and financial aspects of the factory are very important for solving the application. A software developer must be aware of the needs of the factory and the people in it. I understand that the purpose of the course is to raise system engineer professional awareness. The course syllabus talks about complex systems and design principles. This could easily be verified through a test. But after these learning methods, I learned to look differently at the software development profession, the dimensions of sw developer responsibility - I could certainly suggest better software now. From this course I learned responsibility, socialization and technologies, different thinking on the application through the structure and on the design of the solution. ",Business,"Technical, Business, Social, Ethical"
"I understand that the purpose of the course is to raise system engineer professional awareness. The course syllabus talks about complex systems and design principles. This could easily be verified through a test. But after these learning methods, I learned to look differently at the software development profession, the dimensions of sw developer responsibility - I could certainly suggest better software now. From this course I learned responsibility, socialization and technologies, different thinking on the application through the structure and on the design of the solution. The structure of the seminar helped me to see the complexity of the system I was observing, which then influenced the functionalities I later proposed. The course is well planned, this is how to gradually enter the problem and each new case opened up something new for us. If it had all been said in one presentation through a lecture, I would not have learned so much.",Social,"Technical, Business, Social, Ethical"
"What would be the laws and soft skills that should be learned at Universities for software developers? Through university students, professors should make us think. As our parents teach us personal and social responsibility, the same we learn here in the course for the professional responsibility. What should we pay attention to while developing sw - continuous learning, social aspect, economic aspect? This kind, of course, is ok, examples and communication - this interview is an important part of the course, it all comes together a bit, better than just reciting a slide if we had gone to the factory without the seminar, we certainly wouldn't have learned so much, the same without of this conversation, I wouldn't be so aware of what it has to do with each other.",Social,"Social, Ethical, Economic, Business"
"  Would you remember all those aspects if you came to the company tomorrow and started working. I think that this conversation will have an impact - I would never think that I have to go and ask an employee if they will accept it or not, I would only think about functionality and probably without the application of new technologies.",Social,"Business, Technical, Social, Ethical"
" Questions such as the complex system, design principles, and aspects of responsibility. It is better to have a conversation one-on-one than in a group, even though it takes a lot of time, but not everyone could express their opinion in a group.",Social,"Technical, Social, Ethical"
"When AI is implemented, one must always think about a redundant system that will question AI decisions in other limits, for example, a robotic AI control arm and sensors that sense the environment and provide context information for limited movement. Who would be responsible for the wrong move of the robotic arm - for example, if it kills a man - perhaps the software developer could implement a redundant system to ensure the safety of the robotic arm. A security system needs to know the context of where that hand will come from and what that security means. This security is not protection from a hacker attack, but security from your software working properly in a given environment. Most likely, I wouldn't have remembered to implement AI protection if I applied AI in my products before this factory visit.",Technical,"Technical, Business, Ethical, Social"
"I had a problem in identifying the system structure because I did not know where to start, or how to define an abstract rule which would guide me through system structure definition. For example, What are all the roles in the system, i.e. librarian, then a separate system for searching, various views in the system I did not know how to combine into the same structure image. Finally, I depicted some structure and recognized the modules, but when I went to analyze the system in more detail, tried to apply the examples of good practices, and find design patterns I was not so sure if I understood everything correctly. The brewery factory was more complex, so it was harder to describe everything, although the woman talked a lot more. Waffles are a much simpler example. The structured approach to helped me because I was prepared on was required of me, so it was much easier to fill reports after the factory visits. ",Technical,"Technical, Business"
"The problem with depicting system structure is to find the right level, things can be described deeply and shallowly. Well, find the right level – In the factory example, the factories are much more complex. There I took what they said and tried to insert it into the questions from the seminar. I didn't want to deepen the story further.",Technical,"Technical, Business"
"I was genuinely interested in the fact that we went to those factories, how they do it, what all the processes they have, how they cooperate, and also the problems of how the workers deal with them, how they share the money when they earn more, so I also saw that some companies maybe they don't even need to introduce so many new technologies.",Business,"Social, Business, Economic"
" The structured approach to factory helped me to better prepare for information collection, so then I might not have paid attention to some things that were required in the seminar and the woman in factory was talking. Well, maybe I wouldn't be able to write so much in 2 seminars. A lot of what was said there could be connected with the questions of the seminar.",Social,"Business, Social"
" The goal was to show a smaller and bigger factory. I remembered a lot more in the smaller one, and the second one was more complicated, so we had to go from object to object, so there was too much information for me.",Business,"Business, Technical"
" How did you like what the people from economics did? It was great because we learned something from them and they learned something from us. I learned from them that there are different categories of companies, local small, large, international small, and large. And how to do strategic management. And that would be useful for me in my profession because I realized that not all companies want to implement all technologies at once, but that it depends on their market goal.",Business,"Business, Economic, Social"
"Concepts are hard to learn. That's boring. Open the standard, try to go through it, and define it for your application. None of the students did that. Today, you learn and get numerous small tools and make some small projects yourself, but you don't get the conceptual knowledge of how to look at it all and fit it into one story. ",Social,"Social, Ethical"
A responsible software developer has to perceive all meritorious aspects,Ethical,"Ethical, Social"
" Did you realize through this course that it is not important that software is only functioning? Yes, I saw the practice in the real factory and that opened my awareness of the domains of software quality.",Social,"Technical, Social, Ethical"
"One person who is risky has less responsibility and the other person thinks much more to reduce the risk.  We should know someone's behavior over time. Well, if one looks at all the Aspects of the system, one should emphasize all the Aspects that are meritorious. So a more responsive design would be one that looks at all situations.",Ethical,"Technical, Business, Social, Ethical"
" What would be the professional core values? - knowledge?? what kind - at least some basis for the job applied for (eg frontend, backend, coding, design is important, technologies and programs) You mean mostly technological skills and are there any other skills? I think that's the most important thing. ",Technical,"Technical, Business, Ethical"
"Reflection through the course. What is the biggest benefit that you have learned? I hope that I will open my own company as soon as possible, so this visit to the factory was useful for me to see what it looks like, I prefer a small factory to see how it is organized as a family business and what is the attitude towards the workers, it opened my eyes some views I hadn't thought about. For example there are 12 workers, but there are always 11 because there is always someone on the annual leave - I learned a lot about business. The more processes there are, the more it means that you have to approach the problem strategically, how to divide the work, who has control over whom, what does that control mean, what are the control mechanisms, how would you divide the work among these people. Who would you hire, how would you divide these responsibilities when the process is continuous?",Business,"Business, Social, Ethical"
" PyTkiner helped me to visualize the processes and structure of my application. However, it is could not be used to draw everything from reality. We were able to simulate part of reality through the computer. eg using the random function.",Technical,"Technical, Business"
" Where do you see the job of sw developer, what does it have to do with you? In a smaller factory, not really, but in a bigger factory (brewery), every machine has some software, so you need to maintain that software. Someone who has completed 5 years of computer science would probably need to do something like this. Why. Well, I've never encountered that bottle separation may be automatized with help of machine learning, I should learn about it.",Technical,"Technical, Business, Economic, Social"
"What is the difference between a mini-case application (e.g. web application for an apartment) and software for automating part of some complex system like is in brewary? Correctness, whether the software works correctly, for example, to recognize a broken bottle in the bottle separation part of the factory process. The bottle can be chipped, but some sw can erase some dimensions and some shapes, but how to define what is acceptable and what is not? That would have to be defined for software developers, e.g. by the people who are responsible for factory process quality. A lot is unknown, and it is difficult to collect all the requirements, today ChatGPT can write code, but you need to set the requirements very well. Professionalism is needed where serious systems are developed. For a person to know how to operate such systems, a person needs to know how to solve problems, be creative.",Technical,"Technical, Business, Ethical"
" What did you notice in the brewery? I noticed that they have a problem with moisture, that it will cause problems in their industry. What does that have to do with a computer science student. Well, if moisture gets through the device, then it would have an effect on the incorrect operation of the device. Then it could be a problem that this moisture affects the operation of the software.",Technical,"Technical, Business"
"Employees who work for a brewery have to focus on their job descriptions, job descriptions have to be clear minimising overlaps. Then the technology supporting their jobs have to be easy for workers in the brewery to understand and use. Less time will be needed for learning and improvement and for mistakes.",Social,"Business, Technical, Social"
